IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
493;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
505;9;10;10;9;10;10;10;10;10;10;10; ; ;10; ; ; ; ; ; 
509;5;8;8;8;8;9;8;8;5;5;5; ; ; ; ; ; ; ; ; 
517;7;7;9;9;9;10;10;10;10;10;10; ;5; ; ; ; ; ; ; 
527;0;0;1;1;0;2;0; ; ; ; ; ; ; ; ; ; ;3;1;0
528;8;8;10;8;8;8;8;8;10;8;10; ;10;10; ; ; ; ; ; 
536;8;8;9;9;9;0;6;9;9;9;9;9;1; ; ; ; ;10;10;10
575;8;9;8;7;8;7;8;7;9;8;9; ;9;9; ; ; ; ; ; 
578;4;7;2;2;2;5;5;0;2;2;0; ;0; ; ; ; ;0;2;0
600;8;8;10;10;10;8;6;10;8;10;10; ;10; ; ; ; ; ; ; 
618;10;7;5;5;5;10;10;9;6;9;9; ; ; ; ; ; ;5;5;8
626;9;9;9;9;8;10;10;10;10;10;10;10; ;10; ; ; ;10;10;10
630;8;10;6;6;5;8;8;5;8;8;8; ; ;8;6;8;8; ; ; 
641;8;10;8;7;8; ; ;6;8;9;9;8; ; ;8;8;10; ; ; 
658;6;6;5;6;3;6;7;7;6;7;7;7;8;7; ; ; ;8;8;8
660;10;10;8;8;8;10;10;7;8;7;7;8;10; ; ; ; ; ; ; 
671;9;10;8;8;7;10;10;9;8;9;9; ; ;9; ; ; ; ; ; 
715;7;5;7;6;5;5;5;5;6;7;7;5;6; ; ; ; ; ; ; 
738;5;5;7;3;1;5;8;6;8;7;8; ; ; ; ; ; ;9;8;6
742;9;7;7;8;9;9;8;7;10;9;7; ; ;10; ; ; ; ; ; 
765;6;7;8;5;5;7;7;7;8;8;7;7; ;7; ; ; ; ; ; 
773;5;3;1;1;3;3;5;7;4;7;4;5;4; ; ; ; ;3;3;3
776;7;7;5;4;5;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
781;5;2;1;1;5;6;6;6;6;5;4; ; ; ; ; ; ;1;1;1
783;5;6;5;4;5;5;5;3;5;3;4;4; ;4; ; ; ;4;4;4
3759;10;10;10;10;10;10;10;9;10;10;10;10; ; ; ; ; ; ; ; 
3760;6;4;2;2;3;10;6;8;4;8;6;3; ; ; ; ; ; ; ; 
3770;9;8;8;7;8;10;10;9;10;9;9;9; ; ; ; ; ;10;10;10
3812;7;8;4;8;3;8;9;9;8;8;7;5; ; ; ; ; ;10;10;8
3840;4;2;5;3;0;7;8;9;7;4;7; ; ;6; ; ; ;8;8;6
3855;7;7;8;8;7;6;9;6;7;6;5;6;2; ; ; ; ;9;7;9
3859;10;5;10;5;5;10;10;10;10;10;10;10; ;10; ; ; ;10;10;10
3860;6;5;6;5;6;5;7;8;8;7;8; ; ; ; ; ; ;8;8;8
3879;8;7;5;6;5;9;9;5;5;9;6;7; ; ; ; ; ; ; ; 
3888;5;5;7;2;4;7;7; ; ; ; ;9; ; ;0;7;3; ; ; 
3920;10;10;10;10;9;10;9; ; ; ; ;9; ; ; ; ; ; ; ; 
