IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
145821;9;9;9;10;8;9;8;8;6;7;8;9;9; ; ; ; ; ; ; 
145823;10;10;10;10;10;8;10; ; ; ; ;5; ; ; ; ; ; ; ; 
145827;8;7;8;8;7;6;7; ; ; ; ; ;4; ; ; ; ; ; ; 
145891;7;5;5;8;6;0;4;2;5;9;8; ;0;0; ; ; ; ; ; 
145897;10;10;10;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ; 
145918;5;10;8;6;7;8;8;3;5;6;5; ;7;8; ; ; ;4;5;8
145919;7;5;5;5;5;7;7;5;8;10;10;7;10; ; ; ; ; ; ; 
145943;8;8;6;6;6;8;10; ; ; ; ; ; ; ; ; ; ;10;10;10
145944;4;4;5;5;4;1;1;5;4;4;5; ;5;5;7;8;5;7;8;5
145945;7;10;10;10;10;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
145968;4;4;4;2;2;0;6; ; ; ; ; ;1;0; ; ; ;8;10;6
145971;6;7;8;5;7;7;7;6;8;6;7; ; ;5;6;6;9; ; ; 
145972;5;3;10;10;7;7;5; ; ; ; ;5; ; ;10;10;10; ; ; 
145987;0;0;0;0;0;0;0;0;0;0;0; ;0;0; ; ; ; ; ; 
145992;0;0;5;5;5;0;0;0;0;0;0; ;0;0; ; ; ; ; ; 
146025;10;10;10;10;10;10;10;1;10;10;10;10; ; ; ; ; ; ; ; 
146027;5;0;0;0;2;5;5;5;2;2;2; ;0; ; ; ; ;2;0;10
146031;4;5;9;6;8;5;8;2;5;4;5; ;7;0;9;9;10;8;8;9
146033;8;8;8;8;8;8;8; ; ; ; ;9;8;7; ; ; ;9;8;9
146054;2;2;1;1;1;2;2;1;1;1;1; ; ; ; ; ; ;0;0;0
146093;2;2;8;7;8;0;1;2;1;2;4;6;2;6; ; ; ;7;7;7
146111;5;7;8;6;4;6;6;0;4;6;7; ; ; ; ; ; ;9;8;9
146174;7;5;5;5;8;9;10;4;6;6;4; ; ; ; ; ; ;5;10;7
146246;8;8;10;10;10;10;10; ; ; ; ;10; ; ; ; ; ; ; ; 
146407;9;8;8;7;7;8;9;8;6;7;7; ;9;5; ; ; ;9;8;9
146415;4;2;1;0;2;9;6;1;1;4;4; ; ; ; ; ; ; ; ; 
146588;0;0;2;0;0;0;4;0;0;0;0; ;0; ; ; ; ; ; ; 
146732;7;8;7;8;6;9;9; ; ; ; ; ; ;7; ; ; ;7;8;8
146760;5;4;7;8;10;3;4;3;5;8;4;5;8; ;10;10;10;8;8;8
146779;8;8;8;8;8;8;8;8;8;8;8; ;8; ; ; ; ; ; ; 
146801;8;5;8;8;3;10;10;5;6;8;6; ; ;7; ; ; ;8;10;8
146835;5;0;0;3;0;10;10;0;0;3;2;10; ;10; ; ; ;0;5;5
147003;5;6;7;7;5;7;8;4;6;6;5; ; ; ; ; ; ;7;8;5
147071;8;8;10;10;10;7;8;7;7;7;7; ;8; ;7;8;8; ; ; 
147083;6;2;6;3;5;0;5;7;5;5;5;6;0; ;8;8;6; ; ; 
147101;7;4;8;4;5;7;6;5;8;7;7;7; ;7; ; ; ; ; ; 
147109;8;8;6;8;6;6;6;6;6;8;6; ;7;6; ; ; ;8;8;8
147118;7;8;9;7;8;8;9;9;5;5;5;8; ;7; ; ; ;8;7;4
147127;0;1;8;8;2;10;10;2;5;7;2; ; ;1; ; ; ; ; ; 
147132;8;8;8;8;7;8;9;9;9;9;9;7; ; ; ; ; ;8;8;8
147136;2;5;5;4;4;4;7;0;0;5;4; ;4;2; ; ; ;3;8;6
147187;8;8;6;4;3;5;7;9;8;9;8; ; ;5; ; ; ;9;6;9
147216;7;5;2;2;6;8;8;5;2;2;4; ; ; ; ; ; ;4;5;4
147236;7;10;7;7;7;5;5;0;5;5;7;7;5;10; ; ; ; ; ; 
147259;5;5;3;3;4;3;6;6;6;8;8; ;7;6; ; ; ;3;3;2
147320;7;7;9;8;8;10;6;8;7;8;8;8; ; ; ; ; ;9;9;9
147334;6;4;6;5;4;6;6;7;7;7;7; ;7; ; ; ; ;7;8;7
147362;0;1;2;0;2;1;2;0;2;0;0; ; ; ; ; ; ;5;8;10
147397;0;0;3;0;0;0;0;0;0;0;0; ;0; ; ; ; ; ; ; 
147430;8;10;8;8;10;10;10;8;10;10;10;10; ;10; ; ; ;8;8;10
147483;10;10;8;7;8;9;10; ; ; ; ; ; ; ; ; ; ; ; ; 
147489;5;0;4;0;4;3;5;2;5;5;6; ; ; ; ; ; ; ; ; 
147494;6;7;9;8;9;8;8;6;9;8;8; ; ;8; ; ; ; ; ; 
147524;4;2;8;3;5;2;8; ; ; ; ; ;0;0; ; ; ; ; ; 
147537;10;8;8;7;8;10;10;7;9;9;10;10; ;10; ; ; ;7;10;7
147540;7;8;8;6;6;9;9;6;6;8;8; ; ; ; ; ; ;9;10;9
147542;8;7;6;7;7;8;8;5;7;6;6; ; ; ; ; ; ;9;9;7
147552;2;0;2;0;2;2;1; ; ; ; ; ;0; ; ; ; ; ; ; 
147560;2;0;5;4;4;2;7; ; ; ; ;5;3;4; ; ; ; ; ; 
147600;9;5;7;5;7;9;9;7;8;9;8; ; ;9; ; ; ; ; ; 
147606;9;8;8;7;7;4;9;2;1;1;2; ; ;0; ; ; ; ; ; 
147654;6;7;7;7;5;5;5;3;3;5;5; ; ;4;0;2;5; ; ; 
147667;8;6;5;5;5;10;8;7;10;8;8; ; ;5; ; ; ;10;10;10
147680;8;5;7;7;8;5;10;5;3;9;10; ; ;0; ; ; ;9;9;5
147691;8;10;9;8;8;10;10;7;10;8;8; ; ;10; ; ; ; ; ; 
147701;7;5;9;7;8;3;3; ; ; ; ; ;7;5; ; ; ; ; ; 
147711;0;0;5;5;5;10;0;0;0;0;5;5;0;0;5;5;10;5;5;4
147720;9;9;7;5;5;7;7;5;5;7;6; ; ; ; ; ; ; ; ; 
147728;5;3;5;5;3;5;6;3;3;5;5; ; ; ; ; ; ;2;4;5
147770;8;7;9;6;5;8;6; ; ; ; ; ; ; ; ; ; ; ; ; 
147777;4;6;9;9;6;6;6;8;7;8;9; ;7;6; ; ; ;10;10;10
147797;10;2;9;9;2;10;10; ; ; ; ;8; ; ;10;10;10;10;10;2
147811;4;7;6;5;3;6;7;5;8;6;6; ; ;8; ; ; ; ; ; 
147835;5;5;7;4;3;0;2; ; ; ; ;5;6; ; ; ; ; ; ; 
147859;5;3;7;6;2;8;8;8;5;7;7; ;8;7; ; ; ; ; ; 
147860;5;7;8;8;6;10;10; ; ; ; ;8; ; ; ; ; ; ; ; 
147865;6;5;2;2;5;8;10;1;3;3;3;8;4;5; ; ; ;4;5;5
147877;5;5;8;9;9;3; ;6;6;8;8; ;5;7; ; ; ; ; ; 
147906;7;6;7;7;7;10;7;6;6;6;7; ;0; ; ; ; ;8;8;8
147925;8;8;9;9;7;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
147958;7;7;6;7;7;7;6;8;9;9;9;8;8;7; ; ; ; ; ; 
147961;6; ;6;7;4;7;6;5;6;5;5; ; ; ; ; ; ; ; ; 
147962;7;8;8;9;6;10;10;9;9;8;9; ; ; ; ; ; ; ; ; 
147979;4;4;8;8;8;0;1;5;6;6;5;6;8; ; ; ; ;8;8;8
148021;8;8;8;7;8;5;8;5;5;7;7; ; ; ; ; ; ;10;10;10
148027;7;8;8;8;7;5;7;7;8;8;8; ; ; ; ; ; ; ; ; 
148062;4;2;7;7;7;2;10;2;2;5;2; ;5;5; ; ; ; ; ; 
148078;7;8;9;9;8;9;8;6;8;7;8;10; ; ; ; ; ; ; ; 
148182;5;6;5;5;5;7;7;7;5;7;7; ; ; ; ; ; ; ; ; 
148185;6;4;8;8;6;5;8;2;8;7;4;2;8;8; ; ; ; ; ; 
148311;5;5;7;7;8;4;2;4;6;6;7; ;0; ; ; ; ; ; ; 
148315;7;8;8;6;6;8;8; ; ; ; ; ; ;10; ; ; ; ; ; 
148364;3;0;5;5;4;0;3;0;0;0;0;0;0; ; ; ; ; ; ; 
148449;4;0;9;9;8;5;5; ; ; ; ; ;0; ; ; ; ; ; ; 
148627;7;9;10;10;9;8;10;8;10;10;9; ;10;9;5;5;10; ; ; 
148943;5;3;5;5;5;7;5;5;7;0;3; ;5;5; ; ; ;5;7;7
149014;7;5;6;0;4;7;5;5;4;3;4; ; ; ; ; ; ; ; ; 
149045;8;10;10;5;7;5;5; ; ; ; ; ;6;8; ; ; ;5;5;7
149072;7;7;4;4;4;6;7;4;4;5;4;4;4;8; ; ; ;8;7;8
149101;5;5;6;5;6;10;10;5;8;8;8;8;10; ; ; ; ; ; ; 
149115;2;1;2;4;2;1;4;0;3;0;0;0;2; ; ; ; ;0;0;2
149128;8;8;0;0;5;10;8;6;1;4;4; ;9; ; ; ; ;8;1;1
149138;4;6;3;5;2;9;10;5;8;8;6; ; ; ; ; ; ;10;10;7
149159;7;5;6;5;5;7;7;3;5;7;6; ; ; ; ; ; ;5;5;6
149168;7;5;6;5;7;8;8;9;8;8;8; ;3; ; ; ; ; ; ; 
149185;7;8;6;6;5;7;6;4;5;7;7; ;7; ; ; ; ; ; ; 
149201;5;0;5;2;8;8;8;6;0;5;5; ; ; ; ; ; ;10;10;0
149320;3;1;10;10;4;1;1;8;10;4;10; ;10; ; ; ; ; ; ; 
149340;4;5;7;4;3;2;4; ; ; ; ; ; ; ; ; ; ; ; ; 
149353;10;7;10;10;8;9;8;8;8;10;10;10; ; ; ; ; ;8;8;7
149384;5;4;5;3;4;4;4;3;4;4;6; ; ; ; ; ; ;4;3;3
149431;6;6;7;7;7;5;7; ; ; ; ;8;5; ; ; ; ;8;10;8
149435;5;6;3;8;8;8;8;2;5;5;2;5; ; ;10;10;10;5;5;6
149442;0;0;2;2;2;10;10;0;0;0;0; ; ; ; ; ; ;0;0;0
149478;8;8;9;8;7;3;9;7;4;8;7;8;0;0;0;0;8; ; ; 
149495;5;5;8;6;7;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
149502;0;0;0;0;3;0;2;0;0;5;2; ;5; ; ; ; ; ; ; 
149532;5;0;3;7;7;0;0;3;0;3;0; ;5; ; ; ; ;7;8;7
149555;6;7;7;7;7;9;8;8;5;5;5; ; ;5; ; ; ; ; ; 
149641;1;1;2;1;1;0;0;3;3;3;3;2;3;3; ; ; ;3;4;3
149739;10;10;10;8;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
149780;8;8;7;7;6;8;8;6;8;9;7; ;8;5; ; ; ; ; ; 
149809;5;6;8;6;7;7;5;3;3;5;3;5;4;4; ; ; ; ; ; 
149862;8;8;9;9;9;10;9;7;8;9;8; ;10; ; ; ; ;10;10;10
149863;7;5;5;6;4;10;8;8;8;8;8; ; ; ;9;10;7;8;9;5
149887;10;8;10;8;8;10;9;8;9;7;7;10; ; ; ; ; ; ; ; 
149901;5;4;5;4;4;5;5;8;5;10;10; ; ; ; ; ; ; ; ; 
149930;5;5;7;6;4;5;3;2;4;4;3;3;8;7; ; ; ;8;7;5
149932;7;7;7;7;6;7;6;6;5;5;5;7;5;6;10;10;0;10;10;2
149939;7;4;7;5;5;8;7;6;4;7;8; ; ; ; ; ; ;8;8;6
149944;6;7;8;7;5;9;8;6;6;4;6; ;7;6; ; ; ;7;6;8
149946;9;8;9;7;10;8;9;8;9;9;9;9; ;8; ; ; ;9;10;10
149958;8;8;9;8;9;6;8;5;2;5;5; ;7; ; ; ; ; ; ; 
149959;5;7;9;9;9;8;7; ; ; ; ; ; ; ;7;8;6; ; ; 
149962;4;6;10;7;2;9;9;7;10;10;10; ; ;10; ; ; ;10;10;10
149965;9;8;8;8;7;9;9;5;9;8;9; ; ;8; ; ; ;10;8;9
149998;7;6;8;7;4;10;8;5;3;7;8;6; ; ; ; ; ; ; ; 
150018;8;7;7;8;8; ;7;8;7;8;9; ; ; ; ; ; ; ; ; 
154069;10;8;10;10;10;8;10; ; ; ; ;10;10; ; ; ; ; ; ; 
154083;9;8;7;5;5;10;9;9;10;9;9; ; ;10; ; ; ; ; ; 
154091;7;3;3;4;1;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
154099;7;8;9;9;9;8;7; ; ; ; ;8; ; ; ; ; ; ; ; 
154127;8;9;9;9;8;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
154139;7;5;6;5;8;6;7;5;4;7;6; ;5; ; ; ; ;4;4;5
154154;5;5;5;3;6;8;9;5;9;8;7; ; ; ; ; ; ;10;9;8
154171;1;1;1;0;1;5;5;0;0;1;1;4;0; ;1;1;5; ; ; 
154175;10;10;10;1;10;8;8;10;10;10;10; ;10; ; ; ; ; ; ; 
154190;8;9;9;9;9;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
154206;10;9;10;10;9;10;10;9;10;10;10; ; ;10; ; ; ; ; ; 
154208;9;9;10;9;8;10;10;9;10;10;10;9; ; ; ; ; ; ; ; 
154213;10;10;10;10;10;6;10;2;7;10;5; ; ;5; ; ; ; ; ; 
154218;10;10;10;10;9;8;10;0;0;7;10; ; ; ;8;7;10; ; ; 
154239;8;9;10;10;9;10;10;8;8;8;8;8;7; ; ; ; ; ; ; 
154244;10;9;10;10;10;10;8;9;8;10;9; ; ; ; ; ; ;9;9;10
154249;8;8;8;6;8;9;9;7;8;8;8; ; ; ; ; ; ;9;9;9
154284;10;10;10;8;10;8;10;5;6;8;5; ; ;7; ; ; ; ; ; 
154288;7;5;9;8;8;10;8;5;4;9;5; ; ;0; ; ; ; ; ; 
154296;0;0;9;9;9;6;6;10;8;8;7;8;9;10; ; ; ;10;10;10
154318;2;2;2;0;0;10;2;3;0;2;0; ; ;0; ; ; ; ;0;2
154324;5;6;6;6;4;6;7;6;7;6;6; ;6;5; ; ; ;5;5;6
154343;5;6;6;7;5;4;4; ; ; ; ; ;5;5;8;7;7; ; ; 
154366;7;7;8;8;7;8;7;8;7;7;7;8;7; ; ; ; ;8;8;7
154410;10;8;10;10;8;10;10; ; ; ; ;10; ; ; ; ; ;10;10;10
154470;6;5;5;10;8;2;8; ; ; ; ; ; ; ; ; ; ;8;5;5
154475;8;8;10;8;9;9;10; ; ; ; ;9; ; ; ; ; ; ; ; 
154498;5;7;6;7;5;8;8;6;7;7;7;7;7; ; ; ; ;8;7;7
154525;9;3;6;4;5;8;7;7;5;9;8; ; ;7;9;9;8;4;3;4
154526;0;2;7;7;5;7;5;0;5;5;5;7;5;2;9;9;8; ; ; 
154545;10;9;9;9;9;10;10; ; ; ; ;8; ; ; ; ; ; ; ; 
154547;9;10;10;9;10;7;10; ; ; ; ; ;7;6; ; ; ; ; ; 
154566;7;7;8;7;7;0;0;7;0;0;0; ;0; ; ; ; ; ; ; 
154593;8;9;9;9;8;9;10;8;9;10;10; ;10;9;10;9;10;10;10;10
154615;5;6;10;9;10;7;8; ; ; ; ;7;8; ;9;9;7; ; ; 
154646;10;9;10;9;10;10;10;10;8;10;10;10; ; ; ; ; ; ; ; 
154674;9;8;8;8;9;9;8;8;7;7;8; ; ; ; ; ; ;8;9;8
154681;8;7;8;7;7;6;6;4;5;4;4; ;6; ; ; ; ; ; ; 
154686;8;7;4;4;6;8;8;3;7;5;5; ; ;6; ; ; ;7;9;9
154687;9;8;8;6;8;10;10;7;9;8;8; ;8; ; ; ; ;7;8;8
154689;5;7;7;7;9;9;9;6;7;7;6; ; ; ;10;10;7; ; ; 
154692;8;9;8;8;8;7;8;7;7;8;8; ;8;9; ; ; ; ; ; 
154711;8;9;9;8;8;10;10;8;8;9;8; ; ; ; ; ; ; ; ; 
154716;5;5;3;3;7;5;5;8;7;10;10; ; ; ; ; ; ;8;10;10
154772;0;0;3;3;3;0;0;5;0;0;0; ;0; ; ; ; ; ; ; 
154778;10;7;8;5;6;10;10;6;8;6;8;7; ; ; ; ; ;9;9;10
154796;6;3;5;5;3;5;3; ; ; ; ; ; ; ; ; ; ; ; ; 
154800;8;5;7;6;7;10;7;10;5;10;9; ; ;8; ; ; ;9;10;9
154845;5;5;8;7;4;8;6;5;4;5;0;5;4;3; ; ; ;0;0;0
154867;10;10;10;9;9;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
154871;10;9;10;10;10;9;8;9;9;10;10;10; ; ; ; ; ; ; ; 
154877;10;8;9;9;9;10;8; ; ; ; ;9;9; ;10;10;10; ; ; 
154892;10;8;8;8;7;10;10;10;10;10;10;10; ;10; ; ; ;10;10;10
154914;10;9;10;10;9;7;10;8;7;10;10; ;10; ;10;10;10;10;10;10
154919;6;8;6;5;5;6;8;3;3;3;3; ;1;5; ; ; ; ; ; 
154942;0;0;10;10;8;0;0;4;5;8;7; ;0;5;8;10;0;0;0;7
154947;7;5;5;8;5;8;7; ; ; ; ;9; ; ; ; ; ; ; ; 
154955;8;8;9;9;8;10;9;9;8;9;9;8; ; ;9;9;9;9;9;9
154964;10;10;6;6;7;7;8;6;8;8;7; ; ;10; ; ; ;8;8;8
154973;6;8;5;3;5;8;8;6;6;4;6; ; ;8; ; ; ;8;5;5
154980;10;9;9;8;8;9;10;8;9;8;8; ;9;9; ; ; ; ; ; 
154987;5;9;8;6;10;10;10;5;9;9;10; ;5; ;10;10;8;3;7;5
155009;6;7;8;6;8;8;6; ; ; ; ;7;7; ; ; ; ;7;8;8
155023;10;7;7;7;7;7;10;8;10;10;10;10;10;0;7;10;0; ; ; 
155028;7;8;9;9;7;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
155078;8;7;8;7;7;8;8;9;8;8;8;8; ; ;10;10;4; ; ; 
155087;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
155100;6;5;7;8;4;8;8;7;8;8;8; ; ; ; ; ; ; ; ; 
155116;9;8;9;8;9;10;10;1;2;7;8; ;7;9; ; ; ; ; ; 
155134;8;7;8;9;9;9;9;8;7;8;8; ;8; ; ; ; ; ; ; 
155138;8;7;9;10;8;7;7;8;7;8;8; ;9;9; ; ; ; ; ; 
155169;5;6;8;9;7;9;10; ; ; ; ; ; ; ; ; ; ; ; ; 
155182;7;7;6;6;4;9;9;8;5;9;9;9; ; ; ; ; ;3;3;9
155183;9;9;9;9;9;7;8; ; ; ; ; ;7;7;5;6;8;7;7;7
155187;10;10;8;10;10;10;8; ; ; ; ;8; ; ; ; ; ; ; ; 
155198;10;10;10;9;10;10;10;9;10;10;10; ; ; ; ; ; ; ; ; 
155205;8;8;8;9;8;10;9; ; ; ; ; ; ; ; ; ; ;9;10;10
155209;6;8;9;8;9;10;8;8;9;9;8; ;10;10; ; ; ;9;9;10
155232;10;10;10;10;10;10;10;10;10;10;10;10; ; ; ; ; ;10;10;10
155236;10;10;10;10;10;10;10; ; ; ; ;10; ;6; ; ; ; ; ; 
155237;8;8;9;10;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
155241;4;5;10;9;8;4;6;0;2;2;3; ;4;3; ; ; ;8;7;8
155294;10;10;10;10;10;10;10;10;10;10;10; ;10;10; ; ; ;10;10;10
155306;10;10;8;8;9;10;10;10;10;10;10; ;10; ; ; ; ;10;10;8
155320;10;9;9;9;9;10;8;9;9;8;8; ; ; ;9;10;9; ; ; 
155334;9;8;9;7;7;9;10;8;7;8;8; ; ;9;9;10;9; ; ; 
155366;7;8;5;5;6;9;9; ; ; ; ;7;7; ; ; ; ;8;7;7
155400;7;6;5;7;5;5;7;3;3;7;5;7; ; ;6;7;7;7;6;7
155418;10;9;10;9;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
155494;7;7;9;7;9;7;8;7;5;7;8; ;5;9; ; ; ; ; ; 
155502;10;10;7;7;10;7;10;5;7;10;10; ;0; ; ; ; ;10;10;10
155519;8;8;7;7;7;7; ; ; ; ; ; ;8; ; ; ; ;7;7;7
155574;8;5;10;9;2;10;10;8;8;8;9;9; ; ; ; ; ;10;10;10
155576;8;9;8;9;9;7;7;7;7;8;7; ; ;7;6;6;8; ; ; 
155579;9;9;10;9;8;10;10; ; ; ; ;10; ; ;10;10;10;10;10;10
155598;7;8;9;7;8;10;10;9;10;10;10; ; ; ; ; ; ;10;10;10
155608;8;9;8;7;7;8;8;5;7;8;8; ; ;9; ; ; ;7;7;6
155640;10;10;10;10;10;10;10; ; ; ; ;10; ; ; ; ; ; ; ; 
155644;9;9;9;9;9;9;8;9;9;10;10;9;9; ; ; ; ; ; ; 
155657;4;8;8;8;8;7;7;7;7;8;8; ; ;7;9;9;9; ; ; 
155673;9;9;10;10;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
155679;8;8;7;8;7;6;7;8;8;9;9; ;6;8;9;10;9;8;8;8
155721;5;10;8;7;8;4;4;8;0;10;9;9;5;5; ; ; ;5;0;0
155725;7;8;6;5;6;5;8;8;7;7;9;8;7; ; ; ; ; ; ; 
155730;8;8;8;8;8;8;7; ; ; ; ;8; ; ; ; ; ; ; ; 
155757;10;9;9;10;9;10;10;10;10;10;10; ; ; ; ; ; ; ; ; 
155763;7;7;8;7;7;6;7;7;5;8;8;8;5; ; ; ; ; ; ; 
155806;7;8;8;8;9;7;7;6;7;7;7;8;6;7; ; ; ; ; ; 
155818;8;10;9;8;9;8;8;8;8;9;9;8; ;9; ; ; ; ; ; 
155854;9;10;10;8;10;7;8;10;9;10;10;10;9;10; ; ; ; ; ; 
155855;9;5;10;10;9;9;10;9;8;10;9;10;9;8;9;10;10;10;10;10
155898;7;8;10;10;9;8;9;7;7;8;8;6;6; ; ; ; ; ; ; 
155899;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10; ; ; 
155919;10;8;9;9;8;10;8;9;0;7;6; ; ; ;5;5;5; ; ; 
155941;10;8;7;7;10;7;10;9;7;7;7; ;6; ; ; ; ; ;7;7
155967;4;4;4;0;0;5;10;4;5;5;5;7; ; ; ; ; ; ; ; 
155981;8;8;10;7;8;9;5; ; ; ; ;9;9; ; ; ; ; ; ; 
155988;10;8;8;8;8;10;10; ; ; ; ;10;10;10; ; ; ;10;10;10
155989;10;0;3;5;4;7;1;8;2;8;8; ; ;10;8;10;10; ; ; 
155990;8;7;6;8;8;5;5;7;8;6;7;8;7;6; ; ; ; ; ; 
156028;7;9;10;10;8;8;8;8;8;9;7; ; ; ; ; ; ; ; ; 
156035;7;7;9;9;8;9;9; ; ; ; ;9; ; ; ; ; ;8;9;9
156040;8;9;10;10;9;10;10;5;8;9;8; ;9;10; ; ; ; ; ; 
156041;8;5;8;8;6;6;8;3;6;8;3;8;6; ; ; ; ;8;10;7
156050;8;8;8;8;8;8;8; ; ; ; ;8;8;8; ; ; ;7;8;8
156060;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
156107;10;10;10;8;8;10;10; ; ; ; ;10; ; ;4;3;10; ; ; 
156108;10;10;10;10;10;10;10;9;10;10;10;10; ; ; ; ; ; ; ; 
156129;6;0;5;5;0;6;6;8;4;5;6; ;5; ; ; ; ;7;6;5
156187;8;8;9;9;8;8;8; ; ; ; ; ; ; ; ; ; ; ; ; 
156191;10;10;10;8;8;10;10;10;10;10;10; ; ; ; ; ; ; ; ; 
156200;8;7;10;7;9;10;8;6;6;9;8;9;9; ; ; ; ; ; ; 
156203;5;3;6;3;5;5;6;8;8;8;9;8; ; ;7;7;7;6;6;6
156233;9;9;8;9;10;2;7; ; ; ; ;9; ;0; ; ; ; ; ; 
156236;9;8;9;8;7;7;7; ; ; ; ;9;9; ; ; ; ;8;8;10
156240;8;8;8;8;9;8;7;8;8;8;9; ; ;7; ; ; ; ; ; 
156280;6;5;8;8;3;7;7;4;3;7;6;7;0;3; ; ; ; ; ; 
156288;7;5;7;6;7;8;7; ; ; ; ; ; ; ; ; ; ; ; ; 
156299;8;8;8;7;8;9;9; ; ; ; ;10; ; ; ; ; ;7;7;10
156349;5;10;5;8;8;10;8;0;5;5;5;8;5; ; ; ; ;5;8;8
156351;1;0;1;0;3;0;2;3;0;2;2; ;0; ; ; ; ;0;0;0
156411;7;7;7;7;7;7;7; ; ; ; ;7; ;7; ; ; ;7;7;7
156468;0;0;5;0;5;0;5;0;0;0;0; ;0; ; ; ; ;0;0;0
156522;7;9;9;8;10;10;10; ; ; ; ;10; ;8; ; ; ; ; ; 
156539;7;7;9;8;8;8;7;9;8;9;9; ;8;8; ; ; ;9;9;9
156541;8;7;9;8;7;8;8;8;7;8;8; ;10; ; ; ; ; ; ; 
156553;9;9;7;7;7;7;9;9;9;10;10;9;9;9; ; ; ;8;9;9
156579;9;8;9;8;9;8;9;9;9;9;9;8; ; ; ; ; ;9;9;9
156613;9;9;9;9;9;9;9; ; ; ; ; ; ; ; ; ; ; ; ; 
156676;6;7;9;10;8;5;7;4;5;5;7;7; ; ; ; ; ;8;6;10
156755;10;10;10;10;9;10;7;7;8;9;10; ; ; ; ; ; ; ; ; 
156860;7;10;10;8;10;7;10;8;7;10;10; ;10;10; ; ; ;10;10;7
157009;10;10;10;10;9;10;9; ; ; ; ; ; ; ; ; ; ; ; ; 
157221;9;9;10;9;8;10;8;9;8;9;8;7; ; ; ; ; ; ; ; 
157260;5;7;6;5;8;10;10;8;7;8;8;8; ; ; ; ; ;9;6;8
157280;7;5;8;8;8;7;7;5;7;5;7;5; ; ;6;6;3; ; ; 
157307;8;8;10;8;10;10;10; ; ; ; ;10; ; ; ; ; ; ; ; 
157333;8;8;8;8;7;8;8;9;8;10;9; ; ; ; ; ; ; ; ; 
157414;8;8;9;9;9;9;9;6;8;8;8; ;7;0; ; ; ; ; ; 
157421;7;7;8;6;7;9;9; ; ; ; ;8; ; ; ; ; ; ; ; 
157452;10;9;10;10;9;10;10; ; ; ; ; ; ; ; ; ; ;9;9;10
157525;10;9;9;7;8;10;10;10;10;10;10; ; ; ; ; ; ; ; ; 
157827;5;6;8;7;6;5;6; ; ; ; ;6;6;4; ; ; ; ; ; 
157843;0;0;0;0;0;0;5;0;0;5;5; ;0;5;10;10;0;0;0;0
157848;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
157854;8;8;7;6;8;5;9;9;8;9;9;7;10;6; ; ; ;7;8;8
157861;8;8;9;8;9;5;8;8;8;7;7; ; ;5; ; ; ;4;8;10
157886;4;4;8;8;0;0;0;0;0;0;6; ;0;0;10;10;10;10;10;0
157892;7;8;8;8;7;7;7; ; ; ; ; ;0; ;0;0;0;0;0;0
157906;0;5;10;9;9;5;10;8;8;9;9; ; ;9; ; ; ;9;10;10
157908;10;10;10;10;10;10;10;0;10;10;10; ;10;10; ; ; ; ; ; 
157916;7;7;9;9;7;9;9;5;9;5;5; ;3; ; ; ; ; ; ; 
157917;5;3;6;1;5;10;3;3;3;10;3; ;4;2; ; ; ;5;2;4
157918;8;8;10;9;10;8;8; ; ; ; ; ; ;8;9;9;9; ; ; 
157951;8;8;9;9;9;9;8;8;9;10;9;8; ; ; ; ; ; ; ; 
157962;8;5;4;8;8;4;8;7;7;8;8; ; ;7; ; ; ; ; ; 
157978;9;7;10;10;10;6;9;9;9;9;9; ;7;6; ; ; ; ; ; 
158007;9;8;9;7;8;8;9; ; ; ; ;9;7; ; ; ; ; ; ; 
158018;6;7;8;8;9;5;5;10;8;6;7; ; ; ; ; ; ; ; ; 
158043;10;7;10;10;10;10;10; ; ; ; ;10;9; ; ; ; ;5;10;8
158045;6;6;6;6;6;8;6; ; ; ; ;8;6; ;5;8;6;6;6;6
158053;8;8;8;7;8;8;8;6;7;7;7;7;7;8;9;9;8; ; ; 
158059;7;8;7;8;8;7;6; ; ; ; ; ; ; ; ; ; ; ; ; 
158064;9;10;9;9;10;10;10; ; ; ; ;10; ;5; ; ; ; ; ; 
158067;9;9;9;9;9;9;9;9;9;9;9; ; ; ; ; ; ; ; ; 
